Il modulo di sistema deve ottenere dal server di MIVOQ srl la lista degli effetti disponibili | Obbligatorio | Funzionale | UC3.2
Il modulo di sistema deve essere in grado di formulare una richiesta http per la ricezione degli effetti | Obbligatorio | Funzionale | UC3.2
Il modulo di sistema deve essere in grado di mantenere nella memoria l'audio ricevuto dal server MIVOQ srl | Obbligatorio | Funzionale | UC3.4
Il modulo di sistema deve integrarsi con il servizio TTS del sistema, per mettere a disposizione nuove voci alle applicazioni installate | Desiderabile | Funzionale | Capitolato












